Data,NDVI,ano
2008-04-06,0.5672,2008
2008-04-22,0.6696,2008
2008-05-08,0.8126,2008
2008-05-24,0.8029,2008
2008-06-09,0.8139,2008
2008-06-25,0.7158,2008
2008-07-11,0.7917,2008
2008-07-27,0.7228,2008
2008-08-12,0.7133,2008
2008-08-28,0.6764,2008
2008-09-13,0.6702,2008
2008-09-29,0.7206,2008
2008-10-15,0.6622,2008
2008-10-31,0.6466,2008
2008-11-16,0.1639,2008
2008-12-02,0.5483,2008
2008-12-18,0.829,2008
2009-01-01,0.1597,2009
2009-01-17,0.8339,2009
2009-02-02,0.8578,2009
2009-02-18,0.7889,2009
2009-03-06,0.8184,2009
2009-03-22,0.0929,2009
2009-04-07,0.8321,2009
2009-04-23,0.8439,2009
2009-05-09,0.7958,2009
2009-05-25,0.8317,2009
2009-06-10,0.8299,2009
2009-06-26,0.799,2009
2009-07-12,0.7728,2009
2009-07-28,0.7624,2009
2009-08-13,0.7306,2009
2009-08-29,0.7189,2009
2009-09-14,0.7453,2009
2009-09-30,0.5766,2009
2009-10-16,0.1004,2009
2009-11-01,0.7609,2009
2009-11-17,0.7847,2009
2009-12-03,0.8063,2009
2009-12-19,0.8076,2009
2010-01-01,0.8666,2010
2010-01-17,0.8319,2010
2010-02-02,0.7766,2010
2010-02-18,0.747,2010
2010-03-06,0.7978,2010
2010-03-22,0.8004,2010
2010-04-07,0.8528,2010
2010-04-23,0.8399,2010
2010-05-09,0.8356,2010
2010-05-25,0.7392,2010
2010-06-10,0.8186,2010
2010-06-26,0.7476,2010
2010-07-12,0.8368,2010
2010-07-28,0.8092,2010
2010-08-13,0.806,2010
2010-08-29,0.7126,2010
2010-09-14,0.6947,2010
2010-09-30,0.6809,2010
2010-10-16,0.7349,2010
2010-11-01,0.1172,2010
2010-11-17,0.3884,2010
2010-12-03,0.7865,2010
2010-12-19,0.8042,2010
2011-01-01,0.928,2011
2011-01-17,0.8839,2011
2011-02-02,0.7037,2011
2011-02-18,0.6465,2011
2011-03-06,0.8503,2011
2011-03-22,0.8879,2011
2011-04-07,0.1672,2011
2011-04-23,0.6518,2011
2011-05-09,0.8423,2011
2011-05-25,0.7763,2011
2011-06-10,0.8361,2011
2011-06-26,0.7733,2011
2011-07-12,0.7659,2011
2011-07-28,0.7697,2011
2011-08-13,0.7067,2011
2011-08-29,0.6667,2011
2011-09-14,0.667,2011
2011-09-30,0.5979,2011
2011-10-16,0.6872,2011
2011-11-01,0.349,2011
2011-11-17,0.1355,2011
2011-12-03,0.1844,2011
2011-12-19,-0.3,2011
2012-01-01,0.8281,2012
2012-01-17,0.6649,2012
2012-02-02,0.8067,2012
2012-02-18,0.7599,2012
2012-03-05,0.8569,2012
2012-03-21,0.0749,2012
2012-04-06,0.8018,2012
2012-04-22,0.8318,2012
2012-05-08,0.8265,2012
2012-05-24,0.828,2012
2012-06-09,0.8366,2012
2012-06-25,0.7306,2012
2012-07-11,0.8202,2012
2012-07-27,0.7843,2012
2012-08-12,0.767,2012
2012-08-28,0.7343,2012
2012-09-13,0.6825,2012
2012-09-29,0.6485,2012
2012-10-15,0.6304,2012
2012-10-31,0.6287,2012
2012-11-16,0.0895,2012
2012-12-02,0.7404,2012
2012-12-18,0.7557,2012
2013-01-01,0.7415,2013
2013-01-17,0.9392,2013
2013-02-02,0.7668,2013
2013-02-18,0.9117,2013
2013-03-06,0.7334,2013
2013-03-22,0.5963,2013
2013-04-07,0.0498,2013
2013-04-23,0.8272,2013
2013-05-09,0.4416,2013
2013-05-25,0.2759,2013
2013-06-10,0.7686,2013
2013-06-26,0.8058,2013
2013-07-12,0.8036,2013
2013-07-28,0.7806,2013
2013-08-13,0.7517,2013
2013-08-29,0.7703,2013
2013-09-14,0.7077,2013
2013-09-30,0.4812,2013
2013-10-16,0.6844,2013
2013-11-01,0.7363,2013
2013-11-17,0.7483,2013
2013-12-03,0.5533,2013
2013-12-19,0.6129,2013
2014-01-01,0.6129,2014
2014-01-17,0.782,2014
2014-02-02,0.7493,2014
2014-02-18,0.8317,2014
2014-03-06,0.7865,2014
2014-03-22,0.6885,2014
2014-04-07,0.7912,2014
2014-04-23,0.8443,2014
2014-05-09,0.8475,2014
2014-05-25,0.8265,2014
2014-06-10,0.8226,2014
2014-06-26,0.8201,2014
2014-07-12,0.8318,2014
2014-07-28,0.7604,2014
2014-08-13,0.7724,2014
2014-08-29,0.7262,2014
2014-09-14,0.7203,2014
2014-09-30,0.6756,2014
2014-10-16,0.6745,2014
2014-11-01,0.5725,2014
2014-11-17,0.0828,2014
2014-12-03,0.8484,2014
2014-12-19,0.7853,2014
2015-01-01,0.8221,2015
2015-01-17,0.7957,2015
2015-02-02,0.6205,2015
2015-02-18,0.83,2015
2015-03-06,0.5674,2015
2015-03-22,0.8231,2015
2015-04-07,0.8575,2015
2015-04-23,0.875,2015
2015-05-09,0.8385,2015
2015-05-25,0.8369,2015
2015-06-10,0.8606,2015
2015-06-26,0.8831,2015
2015-07-12,0.7363,2015
2015-07-28,0.8406,2015
2015-08-13,0.8513,2015
2015-08-29,0.7353,2015
2015-09-14,0.6853,2015
2015-09-30,0.6332,2015
2015-10-16,0.6185,2015
2015-11-01,0.6679,2015
2015-11-17,0.0942,2015
2015-12-03,0.8626,2015
2015-12-19,0.8036,2015
2016-01-01,0.7635,2016
