date,ndvi
2010-01-01,6961.220522935672
2010-01-17,6836.056335072098
2010-02-02,6652.292193324059
2010-02-18,6482.417252916969
2010-03-06,7004.443685752234
2010-03-22,7016.977292596403
2010-04-07,7108.046713142778
2010-04-23,6748.333600572564
2010-05-09,6566.050319187974
2010-05-25,6274.747272433556
2010-06-10,6013.94022421982
2010-06-26,5623.442750569781
2010-07-12,5349.430007329881
2010-07-28,5045.60777006113
2010-08-13,4716.446382857932
2010-08-29,4427.436037282898
2010-09-14,4278.4585215377965
2010-09-30,4763.682232337713
2010-10-16,5226.716732081537
2010-11-01,4802.5575932180855
2010-11-17,6258.678280532696
2010-12-03,6766.600570531467
2010-12-19,6843.860932208779
2011-01-01,6004.070857760625
2011-01-17,7015.519292396089
2011-02-02,6539.838782499025
2011-02-18,6619.75000124364
2011-03-06,5433.752464002256
2011-03-22,6921.115343090058
2011-04-07,6862.890802673954
2011-04-23,6843.467781018389
2011-05-09,6629.387965529973
2011-05-25,6248.612155382056
2011-06-10,5971.49357359602
2011-06-26,5625.515807954251
2011-07-12,5321.99461652287
2011-07-28,5036.708203457621
2011-08-13,4767.596477701042
2011-08-29,4579.888180761454
2011-09-14,4378.837240176301
2011-09-30,4328.125136873513
2011-10-16,5450.963990576211
2011-11-01,5636.271531987684
2011-11-17,4858.596484843599
2011-12-03,5543.3351050860265
2011-12-19,6569.635128704965
2012-01-01,6314.311786171572
2012-01-17,6671.813138660251
2012-02-02,6811.244339571235
2012-02-18,6671.7294626678895
2012-03-05,6233.892618570966
2012-03-21,6570.334664866187
2012-04-06,6630.231442126897
2012-04-22,6530.747827005268
2012-05-08,6220.932483889427
2012-05-24,6385.10742967625
2012-06-09,6155.460790814955
2012-06-25,5999.5670941549015
2012-07-11,5633.033937131333
2012-07-27,5303.538914880883
2012-08-12,4771.745064862042
2012-08-28,4673.7692998753355
2012-09-13,4611.535181548233
2012-09-29,4557.216444872799
2012-10-15,4726.196417650328
2012-10-31,4533.427656263399
2012-11-16,6030.271883342705
2012-12-02,6513.225835048361
2012-12-18,6881.816154580065
2013-01-01,6350.20032667226
2013-01-17,6010.01322481017
2013-02-02,6937.750899624952
2013-02-18,6772.75103601849
2013-03-06,6763.368255988998
2013-03-22,6634.384764786822
2013-04-07,6646.678904510159
2013-04-23,6825.109177536636
2013-05-09,6428.5323485544595
2013-05-25,6203.637617947794
2013-06-10,6248.116202138563
2013-06-26,6096.077703053111
2013-07-12,5762.302427959839
2013-07-28,5349.714133830049
2013-08-13,4950.028988913513
2013-08-29,4693.981512148098
2013-09-14,4639.865712190702
2013-09-30,4701.710016986345
2013-10-16,5529.829307468309
2013-11-01,5886.721240576481
2013-11-17,5694.182049052305
2013-12-03,6276.993101460469
2013-12-19,7026.50546535424
2014-01-01,6910.123111148556
2014-01-17,6770.701905041531
2014-02-02,6442.470315520829
2014-02-18,6430.511408707945
2014-03-06,6420.677966124771
2014-03-22,6219.265294783741
2014-04-07,6831.936938970264
2014-04-23,6749.641603741383
2014-05-09,6358.426582761173
2014-05-25,5996.10447249649
2014-06-10,5695.24255409002
2014-06-26,5442.8061338096195
2014-07-12,5161.686388867388
2014-07-28,5020.9542696073095
2014-08-13,4843.0682318039035
2014-08-29,4620.066524210891
2014-09-14,4398.237041967525
2014-09-30,4340.339308623514
2014-10-16,4351.094918689769
2014-11-01,4748.537023921868
2014-11-17,5575.468689349801
2014-12-03,6092.633260623162
2014-12-19,6856.167973156717
2015-01-01,6681.956018201239
2015-01-17,6234.698828645503
2015-02-02,6542.8445542583095
2015-02-18,6816.548257302566
2015-03-06,6273.974746023787
2015-03-22,6923.300546326649
2015-04-07,6904.852065694684
2015-04-23,6408.870102280308
2015-05-09,6704.4850094560115
2015-05-25,6642.882021328337
2015-06-10,6343.3415411901515
2015-06-26,5972.916651260208
2015-07-12,5573.152180740285
2015-07-28,5280.980431026192
2015-08-13,4864.146346041419
2015-08-29,4714.2317086452
2015-09-14,4713.258047939414
2015-09-30,4723.987258241777
2015-10-16,4692.978303706874
2015-11-01,5003.0903410521205
2015-11-17,5444.407661659091
2015-12-03,6298.6343138307875
2015-12-19,6494.215030145457
2016-01-01,6111.7086963192605
2016-01-17,6655.451983427885
2016-02-02,7049.146118314823
2016-02-18,5836.544481032708
2016-03-05,6689.956564637325
2016-03-21,6765.869625001291
2016-04-06,6569.797812612846
2016-04-22,6271.421951232913
2016-05-08,6127.785362146976
2016-05-24,5926.90448634771
2016-06-09,5855.689845793174
2016-06-25,5527.844457523
2016-07-11,5148.711182562865
2016-07-27,4838.751993685002
2016-08-12,4666.104706153237
2016-08-28,4480.6537508788715
2016-09-13,4416.181847340862
2016-09-29,4686.5012731592715
2016-10-15,5098.2270776816595
2016-10-31,5255.444016550728
2016-11-16,5896.0435402745015
2016-12-02,6499.530996350716
2016-12-18,6774.901299520587
2017-01-01,6665.657433492237
2017-01-17,6546.143258363078
2017-02-02,6125.308726562518
2017-02-18,6668.6551772729235
2017-03-06,6685.5106256902955
2017-03-22,6723.200141046118
2017-04-07,6611.879132817371
2017-04-23,6520.5218847193055
2017-05-09,6462.4347999156
2017-05-25,6309.67523221419
2017-06-10,6027.738651277341
2017-06-26,5598.143547775111
2017-07-12,5335.272614660337
2017-07-28,4916.555086833308
2017-08-13,4572.618766781077
2017-08-29,4329.21854887958
2017-09-14,4110.651304927997
2017-09-30,4386.220223706859
2017-10-16,4450.586523359323
2017-11-01,5102.084123531023
2017-11-17,5801.875344678731
2017-12-03,6122.022077327807
2017-12-19,6709.062863623995
